date,river_discharge,river_discharge_mean,river_discharge_median,river_discharge_min,river_discharge_max,river_discharge_p25,river_discharge_p75,latitude,longitude
2024-06-20,1.6546056,1.7796732,1.6546056,1.5176768,3.0644336,1.5733619,1.8477433,-30.02499771118164,-51.22499084472656
2024-06-21,2.4355795,2.409524,2.475371,1.1232445,4.2844524,2.044394,2.6940336,-30.02499771118164,-51.22499084472656
2024-06-22,1.1086283,1.111381,1.1086283,1.1086283,1.2490547,1.1086283,1.1086283,-30.02499771118164,-51.22499084472656
2024-06-23,6.638358,5.0129623,4.795039,1.7164392,12.963683,3.4251652,6.1246023,-30.02499771118164,-51.22499084472656
2024-06-24,4.847901,4.9711614,4.7743125,2.548134,8.749897,3.9888449,5.6412563,-30.02499771118164,-51.22499084472656
2024-06-25,1.5176768,1.5380877,1.5176768,1.5176768,1.7797134,1.5176768,1.5292981,-30.02499771118164,-51.22499084472656
2024-06-26,1.6424086,1.8898159,1.8512903,0.8281002,2.7325017,1.5823421,2.2923634,-30.02499771118164,-51.22499084472656
2024-06-27,0.92309177,0.9230918,0.92309177,0.92309177,0.92309177,0.92309177,0.92309177,-30.02499771118164,-51.22499084472656
2024-06-28,0.7498467,0.74984705,0.7498467,0.7498467,0.7498467,0.7498467,0.7498467,-30.02499771118164,-51.22499084472656
2024-06-29,0.5310875,0.5310877,0.5310875,0.5310875,0.5310875,0.5310875,0.5310875,-30.02499771118164,-51.22499084472656
2024-06-30,0.42232883,0.42232892,0.42232883,0.42232883,0.42232883,0.42232883,0.42232883,-30.02499771118164,-51.22499084472656
2024-07-01,0.34276497,0.34276494,0.34276497,0.34276497,0.34276497,0.34276497,0.34276497,-30.02499771118164,-51.22499084472656
2024-07-02,0.28233063,0.28233054,0.28233063,0.28233063,0.28233063,0.28233063,0.28233063,-30.02499771118164,-51.22499084472656
2024-07-03,0.31219995,1.1208162,1.0684843,0.23310483,4.296634,0.57692844,1.491769,-30.02499771118164,-51.22499084472656
2024-07-04,1.2335722,1.2283272,1.0919372,0.28233063,4.260173,0.9021814,1.4946742,-30.02499771118164,-51.22499084472656
2024-07-05,1.8906798,2.197306,2.2210689,0.98609495,3.560369,1.8248801,2.5974934,-30.02499771118164,-51.22499084472656
2024-07-06,0.7823787,0.8284845,0.7823787,0.7823787,1.2803421,0.7823787,0.8450154,-30.02499771118164,-51.22499084472656
2024-07-07,0.4859357,0.49073407,0.4859357,0.4859357,0.61064565,0.4859357,0.4859357,-30.02499771118164,-51.22499084472656
2024-07-08,0.3273945,0.3273945,0.3273945,0.3273945,0.3273945,0.3273945,0.3273945,-30.02499771118164,-51.22499084472656
2024-07-09,0.25025904,0.26973975,0.25025904,0.25025904,0.733804,0.25025904,0.25025904,-30.02499771118164,-51.22499084472656
2024-07-10,2.6897757,2.4197018,2.2961318,1.1428907,4.1760683,2.0391726,2.786607,-30.02499771118164,-51.22499084472656
2024-07-11,1.1086283,1.1258327,1.0941124,1.0941124,1.3280914,1.0941124,1.1232445,-30.02499771118164,-51.22499084472656
2024-07-12,0.56314766,0.56436294,0.56314766,0.56314766,0.61064565,0.56314766,0.56314766,-30.02499771118164,-51.22499084472656
2024-07-13,0.38995266,0.392122,0.38995266,0.38995266,0.4521116,0.38995266,0.38995266,-30.02499771118164,-51.22499084472656
2024-07-14,1.8575904,2.5192914,2.428123,0.8578044,5.441693,1.699305,3.0621934,-30.02499771118164,-51.22499084472656
2024-07-15,0.8281002,0.9421135,0.9054607,0.8281002,1.3442287,0.8281002,1.0219042,-30.02499771118164,-51.22499084472656
2024-07-16,0.7498467,0.79710925,0.538171,0.5170504,2.6057863,0.5170504,0.9176804,-30.02499771118164,-51.22499084472656
2024-07-17,0.59220874,0.7921976,0.5776782,0.4521116,2.6897757,0.4521116,0.84744036,-30.02499771118164,-51.22499084472656
2024-07-18,0.37404191,0.37404191,0.37404191,0.37404191,0.37404191,0.37404191,0.37404191,-30.02499771118164,-51.22499084472656
2024-07-19,0.31219995,0.31219983,0.31219995,0.31219995,0.31219995,0.31219995,0.31219995,-30.02499771118164,-51.22499084472656
2024-07-20,0.23310483,0.23310472,0.23310483,0.23310483,0.23310483,0.23310483,0.23310483,-30.02499771118164,-51.22499084472656
2024-07-21,0.18850219,0.18850227,0.18850219,0.18850219,0.18850219,0.18850219,0.18850219,-30.02499771118164,-51.22499084472656
2024-07-22,0.1561122,0.1561122,0.1561122,0.1561122,0.1561122,0.1561122,0.1561122,-30.02499771118164,-51.22499084472656
2024-07-23,0.12460494,0.12460503,0.12460494,0.12460494,0.12460494,0.12460494,0.12460494,-30.02499771118164,-51.22499084472656
2024-07-24,0.10917485,0.10917477,0.10917485,0.10917485,0.10917485,0.10917485,0.10917485,-30.02499771118164,-51.22499084472656
